model,feature,importance
xgboost,swe_mean_90,0.02044638805091381
xgboost,2m_temp_mean_mean_3,0.019759157672524452
xgboost,prec_sum_14,0.016341209411621094
xgboost,prec_sum_7,0.014525916427373886
xgboost,swe_delta_7,0.014083076268434525
xgboost,2m_temp_max_mean_180,0.013478525914251804
xgboost,volsw_123,0.011833772994577885
xgboost,volsw_4_mean_3,0.011097215116024017
xgboost,ndvi_min,0.011061005294322968
xgboost,prec_sum_90,0.011025452055037022
xgboost,prec_sum_3,0.00928941648453474
xgboost,2m_temp_mean_lag_1,0.009132763370871544
xgboost,surf_press_mean_60,0.009125901386141777
xgboost,volsw_123_mean_1,0.0082665104418993
xgboost,swe_mean_60,0.00810734461992979
xgboost,frac_snow,0.008079195395112038
xgboost,volsw_123_mean_180,0.007643822580575943
xgboost,lo_prec_du,0.007624911144375801
xgboost,volsw_4_mean_1,0.007549874018877745
xgboost,lai_max,0.007164084352552891
xgboost,volsw_4_mean_180,0.007155334111303091
xgboost,2m_temp_max_mean_30,0.007082096301019192
xgboost,volsw_123_mean_365,0.0068796053528785706
xgboost,2m_temp_mean_mean_14,0.0067590465769171715
xgboost,surf_net_therm_rad_mean_mean_90,0.006746917497366667
xgboost,geol_perme,0.006742021068930626
xgboost,2m_temp_min_mean_7,0.0065210615284740925
xgboost,elev_std,0.006439101416617632
xgboost,volsw_4,0.006259164307266474
xgboost,surf_press_mean_3,0.006209387443959713
xgboost,surf_net_therm_rad_mean_mean_180,0.006017658859491348
xgboost,surf_press_mean_7,0.005856786388903856
xgboost,elev_mean,0.005846092943102121
xgboost,lake_fra,0.005513403564691544
xgboost,swe_mean_30,0.005336105357855558
xgboost,soil_condu,0.005183573812246323
xgboost,volsw_4_mean_365,0.005088131874799728
xgboost,2m_temp_max_mean_14,0.0049639297649264336
xgboost,2m_temp_max_mean_7,0.004858404863625765
xgboost,surf_net_solar_rad_mean_mean_90,0.004720579367130995
xgboost,et0_mean,0.004705424886196852
xgboost,2m_dp_temp_max,0.004442929290235043
xgboost,swe_mean_365,0.004257026594132185
xgboost,swe_lag_1,0.004167374223470688
xgboost,area_gov,0.004097192548215389
xgboost,surf_press_mean_180,0.003887753002345562
xgboost,eta_mean,0.003871265333145857
xgboost,volsw_4_mean_7,0.0035881269723176956
xgboost,mvert_dist,0.003577105002477765
xgboost,fcst_alb,0.0035657216794788837
xgboost,gc_sc_fra,0.003525068983435631
xgboost,glac_fra,0.0034802998416125774
xgboost,swe_lag_7,0.0034320855047553778
xgboost,2m_temp_mean_mean_30,0.00343107501976192
xgboost,surf_net_therm_rad_mean_mean_60,0.0033515547402203083
xgboost,swe_mean_180,0.0033121579326689243
xgboost,bedrk_dep,0.003306236583739519
xgboost,sand_fra,0.0032797977328300476
xgboost,geol_poros,0.0031952112913131714
xgboost,grav_fra,0.0031650036107748747
xgboost,forest_fra,0.0029848229605704546
xgboost,gvf_diff,0.0029812233988195658
xgboost,prec_lag_1,0.0028326755855232477
xgboost,urban_fra,0.0027959165163338184
xgboost,slope_mean,0.002655878197401762
